key;ENGLISH;x
liberate_macedonia_desc;The Macedonians have been under the yoke of the tyranical Bulgars for far too long, we must liberate them and bring them into our fold!;x;
conquer_illyria_title;Conquer Illyria;x;
conquer_illyria_desc;The Serbians and Croatians are still under the control of the vile Magyars and Italians. We must free them from this oppression and bring them into our Balkan Union!;x;
abandon_anatolia_title;Abandon Anatolia;x;
abandon_anatolia_desc;With the loss of our Anatolian lands, we must face the difficult decision of abandoning our claims to it in order to achieve an end to our fighting with the Middle Eastern powers. This will allow us to focus on our European ambitions and consolidate our power in the Balkans.§RThis decision will make you lose your cores in Anatolia permanently. No middle eastern power has content requiring your defeat once you are out of Anatolia, so doing this can enable you to form an alliance or atleast stop fighting them. Keep in mind they might still attack you despite this, but they will not have you as an existential threat in the same way atleast.§!;x;
100900D;There are those within our kingdom who despise our king and government for seeing Anatolians and others as equals to the Greeks. There are rumors of a plot to overthrow the king and establish a new regime with the goal of reviving the Phoenix.;x;
100901D;Due to our recent defeat, a coup has been launched to overthrow the king and establish a dictatorship. Our failure has granted the coup the support of the people, and there is nothing we can do to stop them...;x;
100902D;The plotters have launched a coup to overthrow the king and establish a dictatorship. Due to our recent victory, the people are not supporting the coup. While the threat is still real, we can swiftly move in troops to crush the coup before it can succeed.;x;
100903D;The general behind the coup has fled the country, and all his co-conspirators have been arrested. The people have rallied behind the king and his government, and the plot has been crushed. We can now continue our path to unite a new, modern state in the middle east.;x;
100904D;Recent reports close to the frontline are telling us that stockpiles of weapons and supplies have been stolen and that local villages have been raided. Most of the government believes it to be the work of the vile Turks, but some believe it to be the work of a traitorous plot to overthrow the king. Regardless of who is behind this, this has undeniably weakend our nation at a time of a great crisis.;x;
100905D;The treasury has noticed an issue with money being diverted from the government to private accounts. We have taken measures to ensure this does not happen again, but this is a worrying sign.;x;
100906D;We have received a devestating report. It would seem one of our top generals has been assassinated in his sleep! While it may be reasonable to suspect the Sultanate of Rum, it should be noted that the general was a known supporter of the government and friend of the king. This could be part of the sinister plot to kill the king, but only time will tell.;x;
100907D;In the past few days we have seized control of military outposts and supply depots in the country. Yesterday, the king was seized and executed for betraying the Greek people. The leader behind this coup, Justinian Konstantinou, has declared himself dictator until the crisis is resolved. At the end of a gunbarrel we have changed the fate of our nation, and we have refused to go gently into the night. Long live the Justinian! Long live Greece!;x;
100908D;Despite our best efforts, we have been unable to achieve our many promises to the people. They have grown agitated with us and have risen all over the country to overthrow our government. The military, having grown weary of our failure to accomplish our territorial ambitions, have joined the people in their revolt. There is no possible path forward, the Phoenix died just as quick as it rose. We have failed.;x;
100909D;We promised the people land and a secure anatolian situation, we have failed to deliver on those promises. Due to our loss of Anatolia, the people have risen up against us. The military, doubting our ability to lead, have joined them in their revolt. There is no possible path forward, the Phoenix died just as quick as it rose. We have failed.;x;
100910D;We have, despite a valiant effort, lost the war. Anatolia has been taken from us and the situation is tense. People across Greece proper are rising up against us, citing our focus on reclaiming some long lost glory as the reason we lost Anatolia. Due to our conquests and proven ability to win, the military has not yet taken a side. Minor regiments have been declaring for either side of the conflict, but the top command are still able to be swayed. With the right words, some bribes and big promises, we may be able to keep them on our side and retain control of the government and the country. What will we do?;x;
100911D;With our conquest of Rome, we have finally reclaimed the flame of ancient Rome. Now we must ask ourselves if we will rule from the eastern capital, Constantinople, or from the western capital, Rome.§RThis decision is purely flavour, there is no content locked behind picking either capital.§!;x;
100912D;With the fall of the Phoenix, we must now be realistic. Italy is not ours to conquer and we must focus on consolidating with our brothers in the Balkans. The time has come to abandon Italy.;x;
