key;ENGLISH;x
mongol_subjugation_setup;Annex $RECIPIENT$;x;
mongol_subjugation_short;We shall subjugate those fools!;x;
civil_unrest;Civil Unrest;x;
chudjak_title;Chudjak;x;
chudjak_name;Chudjak;x;
chudjak_desc;A group of angry Chudjak has risen up to pillage the nation!;x;
chudjak_army;Chudjak;x;
neo_mongol_horse_riding_tactics;Neo-Mongol Horse-Riding Tactics;x;
post_ghengis_thought;Post-Ghengis Thought;x;
batbayar_style_horse_army_doctrine;Batbayar-Style Horse Army Doctrine;x;
horse_mounted_machine_gun_warfare;Horse Mounted Machine-Gun Warfare;x;
gaikhamshigt_zevseg;Gaikhamshigt Zevseg;x;
moriny_bombog;Moriny Bombog;x;
the_winged_chariot;The Winged Chariot;x;
horse_mounted_howitzers;Horse-Mounted Howitzers;x;
EVTNAME80098;A Deafening Silence in the East...;x;
EVTDESC80098;In the far east, in the lands of the frozen tundra, there is all of a sudden an erie quiet. The area, known for being the realm of the fearsome khanates, has grown very still as of late. Have the Khans perhaps grown to appreciate a calmer lifestyle?;x;
EVTOPT80098;Good for them, maybe they will finally get off of their horses and live a more normal lifestyle!;x;
EVTNAME80099;A Loud Thunder in the East;x;
EVTDESC80099;At the crack of dawn today all of Central Asia was awoken to the sounds of thunderous hooves galloping across the land and steel piercing flesh. The Khanates have been united under a mighty Khan, one the likes of which has not been seen since the times of Genghis Khan. We must prepare our defense, or else we may suffer a disastrous calamity in the future...;x;
EVTOPT80099;Uh oh...;x;
EVTNAME80083;Thought Provoking Literature;x;
80083D;Batbayar has blessed us with a magnificent work of literature that he has called "The Batbayarsutra"! Reading it has awoken a urge within our population to try new things and as a result our population is growing at a quicker rate!;x;
batbayarsutra;Batbayarsutra;x;
