100027D;A terrible famine has struck our nation! Farmers in Scotland have suffered severe crop failures, and the cold has been unusually harsh this winter. This has led to many in Scotland to be at risk of not having enough food, and calls for parliament to do something haunt the streets of Edinburgh. Some of the aristocrats have argued that we should import all the food we need from Ireland, but this would just result in an Irish famine instead. Another solution would be to import some of the food we need, this would result in a minor famine for both kingdoms but it would be far less devestating than if nothing is done.;x;
100027OPTA;We can keep it localized to Scotland;x;
100027OPTB;The Irish shall bear the brunt of the suffering;x;
100027OPTC;We can minimize the damage in both kingdoms;x;
EVTNAME100028;The Election of 1840;x;
100028D;Following the recent election the Liberals have kept the momentum they gained after the end of the European Revolution, much to the Kings dismay. Suprisingly the Scottish Nationalists have garnered far more support than expected, making a nationalist-conservative government a real possibility. The Irish would surely see the appointment of a nationalist Prime Minister as an attack on their freedom, but is it wrong to put ones own people first? There are however some that are worried that no Prime Minister may be appointed, as the King might consider appointing a liberal or nationalist as weaking the power of the crown. §RShould the King, god forbid, shutdown the parliament then there might be very severe consequences...§!;x;
100028OPTA;Appoint a Nationalist government;x;
100028OPTB;Appoint a Liberal government;x;
100028OPTC;Shut down Parliament;x;
EVTNAME100029;The Irish Rebellion;x;
100029D;The Irish have risen up! Due to our neglect of the kingdom Irish nationalists have rallied the people to take up arms in order to establish an independent Irish state. The dissolution of our union would leave Scotland weak, the upper class in Scotland are demanding an immediate and violent response to the revolt. The liberal middle class think that Ireland is more trouble than it is worth, and the risk of one of our rivals intervening against us is worrying. How will we respond?;x;
100029OPTA;Crush the Seccesionists!;x;
100029OPTB;Cut them loose;x;
EVTNAME100032;Intervention in Ireland;x;
100032D;The people of Ireland have taken up arms against the Scottish government. The leaders of this new Irish republic have sent representatives to our nation requesting our aid in protecting their newfound independence. This could be a great opportunity to weaken Scotland and give us an eager ally to assist us should we end up at war with Scotland. How shall we respond?;x;
100032OPTA;We will protect the Irish;x;
100032OPTB;Thanks, but no thanks;x;
EVTNAME100033;The End of the Irish Struggles;x;
100033D;Thanks to our reforms and handling of the situation in Ireland we have been able to avoid a potential civil war. The Unionists have been able to convince the people of Ireland that our reforms show we are willing to be a nation of equals, and the nationalists have lost much of their support. This is a great day for Scotland, a day which will go down in history!;x;
100033OPT;This calls for a celebration!;x;
reunite_with_ireland_title;Reunite with Ireland;x;
reunite_with_ireland_desc;With the defeat of the Irish revolution we once again control the emerald isle.§R However, due to the revolution and our actions during the Irish Struggles the Irish will forever distrust our nation, and will never feel truly accepted as equal citizens.§!;x;
scotland_invade_englaland_title;Invade Englaland;x;
scotland_invade_englaland_desc;The most recent war between Normandy and Englaland has left them both weak, while we have sat on the side building our strength. This gives us a the opportunity to exploit their weakness and claim some of their land.;x;
