key;ENGLISH;x
demand_concession_casus_belli_medium_short;Demand Medium State $STATE$.;;;;;;;;;;;
demand_concession_casus_belli_medium_desc;Demand a §Ymedium state§W concession.;;;;;;;;;;;
demand_concession_casus_belli_medium_setup;Demand that $RECIPIENT$ cede its medium state.;;;;;;;;;;;
demand_concession_casus_belli_large;Large State Concession;;;;;;;;;;;
demand_concession_casus_belli_large_short;Demand Large State $STATE$.;;;;;;;;;;;
demand_concession_casus_belli_large_desc;Demand a §Ylarge state§W concession.;;;;;;;;;;;
demand_concession_casus_belli_large_setup;Demand that $RECIPIENT$ cede its large state.;;;;;;;;;;;
demand_concession_casus_belli_huge;Huge State Concession;;;;;;;;;;;
demand_concession_casus_belli_huge_short;Demand Huge State $STATE$.;;;;;;;;;;;
demand_concession_casus_belli_huge_desc;Demand a §Yhuge state§W concession.;;;;;;;;;;;
demand_concession_casus_belli_huge_setup;Demand that $RECIPIENT$ cede its huge state.;;;;;;;;;;;
place_in_the_sun_tiny;Tiny Place in the Sun;;;;;;;;;;;
place_in_the_sun_tiny_short;Acquire Tiny State $STATE$.;;;;;;;;;;;
place_in_the_sun_tiny_desc;Demand a §Ytiny state§W colony.;;;;;;;;;;;
place_in_the_sun_tiny_setup;Acquire Tiny State $STATE$ from $RECIPIENT$.;;;;;;;;;;;
place_in_the_sun_small;Small Place in the Sun;;;;;;;;;;;
place_in_the_sun_small_short;Acquire Small State $STATE$.;;;;;;;;;;;
place_in_the_sun_small_desc;Demand a §Ysmall state§W colony.;;;;;;;;;;;
place_in_the_sun_small_setup;Acquire Small State $STATE$ from $RECIPIENT$.;;;;;;;;;;;
place_in_the_sun_medium;Medium Place in the Sun;;;;;;;;;;;
place_in_the_sun_medium_short;Acquire Medium State $STATE$.;;;;;;;;;;;
place_in_the_sun_medium_desc;Demand a §Ymedium state§W colony.;;;;;;;;;;;
place_in_the_sun_medium_setup;Acquire Medium State $STATE$ from $RECIPIENT$.;;;;;;;;;;;
place_in_the_sun_large;Large Place in the Sun;;;;;;;;;;;
place_in_the_sun_large_short;Acquire Large State $STATE$.;;;;;;;;;;;
place_in_the_sun_large_desc;Demand a §Ylarge state§W colony.;;;;;;;;;;;
place_in_the_sun_large_setup;Acquire Large State $STATE$ from $RECIPIENT$.;;;;;;;;;;;
place_in_the_sun_huge;Huge Place in the Sun;;;;;;;;;;;
place_in_the_sun_huge_short;Acquire Huge State $STATE$.;;;;;;;;;;;
place_in_the_sun_huge_desc;Demand a §Yhuge state§W colony.;;;;;;;;;;;
place_in_the_sun_huge_setup;Acquire Huge State $STATE$ from $RECIPIENT$.;;;;;;;;;;;
take_puppet;Steal Puppet;x;
take_puppet_short;$THIRD$ is brought under our control;x;
take_puppet_desc;Steal a §Ypuppet§W from its sovereign nation;x;
take_puppet_setup;Steal $THIRD$ from $RECIPIENT$;x;
free_peoples_tiny;Free People Tiny State;;;;;;;;;;;
free_peoples_tiny_short;$THIRD$ acquires $STATE$.;;;;;;;;;;;
free_peoples_tiny_desc;Liberate a §Ycountry§W's state from its oppressors.;;;;;;;;;;;
free_peoples_tiny_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$.;;;;;;;;;;;
free_peoples_small;Free People Small State;;;;;;;;;;;
free_peoples_small_short;$THIRD$ acquires $STATE$.;;;;;;;;;;;
free_peoples_small_desc;Liberate a §Ycountry§W's state from its oppressors.;;;;;;;;;;;
free_peoples_small_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$.;;;;;;;;;;;
free_peoples_medium;Free People Medium State;;;;;;;;;;;
free_peoples_medium_short;$THIRD$ acquires $STATE$.;;;;;;;;;;;
free_peoples_medium_desc;Liberate a §Ycountry§W's state from its oppressors.;;;;;;;;;;;
free_peoples_medium_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$.;;;;;;;;;;;
free_peoples_large;Free People Large State;;;;;;;;;;;
free_peoples_large_short;$THIRD$ acquires $STATE$.;;;;;;;;;;;
free_peoples_large_desc;Liberate a §Ycountry§W's state from its oppressors.;;;;;;;;;;;
free_peoples_large_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$.;;;;;;;;;;;
free_peoples_huge;Free People Huge State;;;;;;;;;;;
free_peoples_huge_short;$THIRD$ acquires $STATE$.;;;;;;;;;;;
free_peoples_huge_desc;Liberate a §Ycountry§W's state from its oppressors.;;;;;;;;;;;
free_peoples_huge_setup;Hand $STATE$ back to $THIRD$ from $RECIPIENT$.;;;;;;;;;;;
take_capital;Take Capital;x;
take_capital_desc;Take the Capital region of a §Ycountry§W and force them to move their capital elsewhere;x;
take_capital_setup;Take Capital region $STATE$ of $RECIPIENT$;x;
take_capital_short;Takes Capital from $RECIPIENT$;x;
conquest_low;Minor Conquest;x;
conquest_low_desc;Annex a §Ycountry§W of mediocre size and population by conquest;x;
conquest_low_setup;Annex minor nation of $RECIPIENT$;x;
conquest_low_short;Annex $RECIPIENT$;x;
conquest_tiny;Tiny Conquest;x;
conquest_tiny_desc;Annex a §Ycountry§W of small size and population by conquest;x;
conquest_tiny_setup;Annex minor nation of $RECIPIENT$;x;
conquest_tiny_short;Annex $RECIPIENT$;x;negotiated_transfer;Negotiated Transfer;;;;;;;x
negotiated_transfer_cb;Negotiated Transfer §R(!)§!;;;;;;;x
negotiated_transfer_cb_desc;§YCAN BE USED FOR YOURSELF OR A HUMAN ALLY.§! Take a state or colonial region from another player with no effect on infamy, prestige, or jingoism, with their consent;;;;;;;x
negotiated_transfer_cb_short;Take $STATE$ from $RECIPIENT$ for $THIRD$;;;;;;;x
negotiated_transfer_cb_setup;Take $STATE$ from $RECIPIENT$ with their consent;;;;;;;x
NORMAL_WAR_NEGOTIATE_NAME;$ORDER$Transfer of $STATE$;;;;;;;x
AGRESSION_WAR_NEGOTIATE_NAME;$ORDER$Transfer of $STATE$;;;;;;;x
